name,visitors,pageviews,bounce_rate,time_on_page,scroll_depth
/,344,435,67,28,95
/blog/fiducial-markers-types/,246,272,89,103,57
/blog/ai-for-musicians/,181,195,91,67,53
/blog/mediapipe-for-sports-apps/,140,155,89,71,61
/blog/computer-vision-costs/,91,110,83,58,36
/blog/roomplan-framework-by-apple/,84,93,92,91,66
/blog/how-to-implement-image-segmentation-on-ios/,82,89,89,79,61
/blog/gstreamer-cpp-tutorial/,79,88,80,90,47
/about-us/,78,108,72,69,100
/blog/3d-reconstruction-on-ios/,74,87,85,61,47
/computer-vision-development/,65,90,87,39,31
/portfolio/,62,85,81,31,75
/blog/sports-apps-with-pose-estimation/,60,63,95,32,68
/blog/gstreamer-for-computer-vision-and-audio-processing/,58,61,96,169,59
/blog/,57,212,38,38,65
/blog/nerf-in-2023-theory-and-practice/,53,57,95,68,53
/blog/practical-aspects-of-real-time-video-pipelines/,53,61,91,227,43
/blog/apple-vision-framework/,46,46,100,40,55
/contact-us/,46,49,80,39,71
/audio-ai-development/,42,54,100,37,39
/blog/mamba-music-transcription/,42,68,92,12,32
/blog/training-and-fine-tuning-gpt-2-and-gpt-3-models-using-hugging-face-transformers-and-openai-api/,41,41,100,30,38
/blog/apple-roomplan-api/,38,39,94,33,45
/blog/how-text-to-speech-models-work-theory-and-practice/,38,41,92,96,58
/blog/writings-on-the-wall-recognizing-speech-on-spectrograms/,34,51,94,40,58
/blog/audio-processing-basics-in-python/,32,33,94,55,64
/blog/sam-audio/,28,34,83,32,43
/blog/mini-tutorial-on-mediapipe/,27,28,96,54,60
/ai-in-ios-app-development/,26,30,85,34,52
/industries/music-tech/,25,31,100,40,62
/blog/barcode-recognition-on-ios/,22,24,86,76,52
/blog/overview-of-indoor-navigation-technologies/,22,23,95,29,27
/industries/sports/,22,23,100,25,58
/blog/augmented-reality-tracking-with-different-markers/,20,23,77,38,77
/blog/comparison-of-ios-applications-for-3d-reconstruction/,20,20,90,115,48
/blog/floor-segmentation/,19,19,95,74,75
/blog/iphones-12-pro-lidar-how-to-get-and-interpret-data/,18,18,100,58,75
/portfolio/ai-app-golf-scorecard-recognition/,18,19,94,107,68
/portfolio/kids-speech-therapy/,16,21,77,82,62
/blog/computer-vision-in-a-web-browser-practical-examples/,15,16,87,31,69
/portfolio/crystal-clear-memories/,15,17,100,36,48
/industries/music-technology/,13,17,86,40,44
/blog/apples-arkit-vs-eye-fatigue/,11,11,100,16,32
/portfolio/pardigm/,11,13,90,98,71
/blog/computer-vision-in-healthcare/,10,10,100,19,44
/blog/the-open-source-quest-exploring-free-alternatives-to-gpt-3/,10,10,100,9,24
/blog/constant-color-api-technology-review/,9,9,100,30,53
/privacy-policy/,9,9,100,,
/blog/extended-reality-project-example/,8,8,100,311,66
/blog/tessact-library-configuration/,8,8,100,119,83
/blog/becoming-a-computer-vision-engineer-in-2021/,7,7,86,675,90
/blog/computer-vision-in-fashion-industry/,7,7,100,29,46
/blog/jax-can-it-beat-pytorch-and-tensorflow/,7,7,100,483,69
/portfolio/on-device-neurological-assessment-for-ios/,7,7,100,30,82
/blog/ai-video-generation-tools/,6,6,100,10,50
/blog/automatic-license-plate-recognition/,6,6,100,4,94
/blog/binary-marker-recognition-on-raspberry/,6,6,100,207,59
/blog/mediapipe-intro/,6,6,100,22,36
/blog/watch-your-steps-a-brief-review-of-step-detection-using-mobile-sensors/,5,5,100,49,64
/blog/webar-deployment/,5,6,80,74,86
/blog/applications-of-artificial-intelligence-in-automotive-industry/,4,4,100,7,86
/blog/biological-cells-segmentation/,4,4,100,10,99
/blog/computer-vision-in-the-food-domain/,4,5,100,11,85
/blog/page/3/,4,4,100,2,42
/blog/page/7/,4,4,100,,
/blog/video-game-review-summarization-using-openai-gpt-3-python-api/,4,4,100,,
/uncategorized/high-performance-autofocusing-for-synthetic-aperture-radars/,4,4,0,3,100
/blog/computer-vision-in-a-web-browser-basics/,3,3,100,5,100
/blog/embedded-and-single-board-computer-vision-introduction/,3,3,100,,
/uncategorized/people-tracker/,3,3,0,11,100
/uncategorized/road-detector/,3,3,0,2,100
/blog/embedded-and-single-board-computer-vision-running-deep-neural-nets/,2,2,100,,
/blog/page/2/,2,2,100,,
/blog/page/4/,2,2,100,,
/blog/page/5/,2,2,100,,
/blog/page/6/,2,2,100,,
/uncategorized/page-unwrapper/,2,2,0,2,100
/about,1,1,100,0,75
/author/admin/page/21/,1,1,100,,
/author/admin/page/3/,1,1,0,2,2
/blog/3d-reconstruction-on-ios-ultimate-guide-with-code-samples/,1,1,0,,
/blog/ai-for-musicians-the-new-creative-process/,1,1,0,,
/blog/how-much-does-computer-vision-development-cost,1,1,0,,
/blog/nerf-theory-and-practice/,1,1,0,,
/blog/the-bizarre-google-world/,1,1,100,,
/category/uncategorized/,1,1,0,5,16
/index-sitemap.xml,1,1,0,1,86
/industries/video-surveillance/,1,1,100,,
/portfolio/binary-marker-recognition-on-raspberry/,1,2,0,3,84
/portfolio/high-performance-autofocusing-for-synthetic-aperture-radars/,1,1,0,12,84
/portfolio/speech-therapy-platform/,1,1,0,3,84
/pricing,1,1,0,4,100
/products,1,1,100,0,94
/sitemap,1,1,0,11,57
/sitemapindex.xml,1,1,0,2,57
/uncategorized/indoor-positioning-engine/,1,1,0,2,100
/uncategorized/object-recognition-in-radar-images/,1,1,0,1,100
/wp-content/themes/spacious/style.css,1,1,0,15,51
